City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
351,muros,42.7762,-9.0603,11.72,65,4,6.94,ES,1674579199
352,namatanai,-3.6667,152.4333,25.89,82,89,2.62,PG,1674578867
353,saint anthony,45.0205,-93.218,-3.93,86,0,2.57,US,1674578887
354,kawalu,-7.3817,108.2082,22.99,94,100,0.81,ID,1674578760
355,alcaniz,41.05,-0.1333,3.15,54,42,2.62,ES,1674579200
356,ulaanbaatar,47.9077,106.8832,-30.93,69,40,0.0,MN,1674579108
357,kantang,7.4054,99.5156,24.34,85,100,1.69,TH,1674579201
358,sitka,57.0531,-135.33,6.94,76,100,5.66,US,1674579001
359,calahorra,42.3051,-1.9652,3.95,66,48,4.77,ES,1674579202
360,mahibadhoo,3.7833,72.9667,26.19,80,100,6.53,MV,1674579140
361,la mana,-0.9333,-79.2167,26.31,82,94,1.62,EC,1674579203
362,birmensdorf,47.3551,8.4426,2.6,86,100,1.54,CH,1674579204
363,salvador,13.8333,-88.9167,27.25,39,3,1.22,SV,1674579175
364,pangnirtung,66.1451,-65.7125,-24.0,77,75,2.06,CA,1674579205
365,campina verde,-19.5356,-49.4864,27.25,70,100,3.32,BR,1674579148
